timestamp_year_month_day,amount
2018-03-01,842310
2018-03-02,-9850277
2018-03-03,12052822
2018-03-04,-17687024
2018-03-05,-2474659
2018-03-08,-11229029
2018-03-09,14113709
2018-03-10,1472564
2018-03-11,1168065
2018-03-12,1339762
2018-03-13,534832
2018-03-14,579270
2018-03-15,1668246
2018-03-16,-492516
2018-03-17,-19028555
2018-03-18,19884617
2018-03-19,7314411
2018-03-20,2737783
2018-03-21,-2746455
2018-03-22,5255741
2018-03-23,857685
2018-03-24,-13545062
2018-03-25,15396091
2018-03-26,-230397
2018-03-27,-15649586
2018-03-28,17142294
2018-03-29,381138
2018-03-30,-16682822
2018-03-31,19011544
