,2019-05,2019-06,2019-07
# of trans.,17622.0,37907.0,19652.0
# of buy trans.,10331.0,21414.0,11705.0
# of sell trans.,7276.0,16485.0,7945.0
cumsum_profit,1728400.0,1513153.0,-2666093.0
point_cumsum_profit,56242.0,-21272.0,-185752.0
positive amount,16416783692.0,32873943190.0,25367995572.0
negative amount,-16415055292.0,-32879246140.0,-25364586093.0
coin of 1 tras.,0.19526902352286915,0.13933743088849024,0.19451098149704865
coin of 1 buy trans.,0.1665390896253993,0.12331593064583918,0.16330709716445962
coin of 1 sell tras.,-0.23646445811434855,-0.16021696413284808,-0.24053118137444934
