timestamp_day,Date transaction,Date sell-buy,Date sell transaction,Date sell,Date buy transaction,Date buy,Date total sell,Date absolute total buy
14,931,-13986080,587,1531487209,344,-1545473289,3076960498,1545473289
15,1487,734092,867,2529253711,620,-2528519619,5057773330,2528519619
16,1208,17687643,684,2228838934,524,-2211151291,4439990225,2211151291
17,688,1432140,357,1374558420,331,-1373126280,2747684700,1373126280
18,1047,-12068675,560,2165526961,487,-2177595636,4343122597,2177595636
19,892,13935899,517,1759974379,375,-1746038480,3506012859,1746038480
20,1523,1998820,908,3007532623,615,-3005533803,6013066426,3005533803
21,2212,-274696,1293,5373720824,919,-5373995520,10747716344,5373995520
22,2119,-7300157,1235,4978452013,884,-4985752170,9964204183,4985752170
23,1373,11705392,842,3178734522,531,-3167029130,6345763652,3167029130
24,915,1013740,581,1965575540,334,-1964561800,3930137340,1964561800
25,689,570258,426,1612991345,263,-1612421087,3225412432,1612421087
26,1148,-10570854,684,2736765547,464,-2747336401,5484101948,2747336401
27,1058,-6746483,583,2866889083,475,-2873635566,5740524649,2873635566
28,1077,21926406,633,2507614791,444,-2485688385,4993303176,2485688385
