timestamp_minute,Minute transaction,Minute sell-buy,Minute sell transaction,Minute sell,Minute buy transaction,Minute buy,Minute total sell,Minute absolute total buy
0,701,-145358501,417,1257136893,284,-1402495394,2659632287,1402495394
1,634,-126141831,358,1104283993,276,-1230425824,2334709817,1230425824
2,609,219261161,395,1368286500,214,-1149025339,2517311839,1149025339
3,509,-13138529,319,884353143,190,-897491672,1781844815,897491672
4,593,267162353,409,1126403303,184,-859240950,1985644253,859240950
5,625,126947471,391,1075487973,234,-948540502,2024028475,948540502
6,523,125034683,352,997960664,171,-872925981,1870886645,872925981
7,579,-406162843,348,969482301,231,-1375645144,2345127445,1375645144
8,602,129852192,390,1119180008,212,-989327816,2108507824,989327816
9,582,110642812,371,1050264900,211,-939622088,1989886988,939622088
10,523,-90533174,316,838721688,207,-929254862,1767976550,929254862
11,543,-271201971,319,851965650,224,-1123167621,1975133271,1123167621
12,571,-48819556,355,1083429103,216,-1132248659,2215677762,1132248659
13,615,360491784,415,1198001650,200,-837509866,2035511516,837509866
14,562,120352166,350,1108930873,212,-988578707,2097509580,988578707
15,543,-254376117,316,896361463,227,-1150737580,2047099043,1150737580
16,492,47405667,313,940864225,179,-893458558,1834322783,893458558
17,516,57007936,320,998676821,196,-941668885,1940345706,941668885
18,549,-60865377,334,969155725,215,-1030021102,1999176827,1030021102
19,496,-125502763,292,857872400,204,-983375163,1841247563,983375163
20,477,59162934,295,921774406,182,-862611472,1784385878,862611472
21,576,352672264,383,1204624879,193,-851952615,2056577494,851952615
22,575,-263072420,320,840478721,255,-1103551141,1944029862,1103551141
23,573,53972304,347,1070316214,226,-1016343910,2086660124,1016343910
24,522,-177420432,300,805228035,222,-982648467,1787876502,982648467
25,501,-10427310,281,932251732,220,-942679042,1874930774,942679042
26,549,-79053794,368,986281970,181,-1065335764,2051617734,1065335764
27,582,-62074760,366,959468944,216,-1021543704,1981012648,1021543704
28,540,-163947346,316,949724618,224,-1113671964,2063396582,1113671964
29,588,-99813789,377,1045474436,211,-1145288225,2190762661,1145288225
30,545,-404781339,299,862898475,246,-1267679814,2130578289,1267679814
31,590,120088891,391,1149034930,199,-1028946039,2177980969,1028946039
32,565,68767689,348,1095429454,217,-1026661765,2122091219,1026661765
33,594,-247119650,351,993855803,243,-1240975453,2234831256,1240975453
34,560,225503381,376,1126558628,184,-901055247,2027613875,901055247
35,529,24424211,315,1092012376,214,-1067588165,2159600541,1067588165
36,533,-43132197,329,992885472,204,-1036017669,2028903141,1036017669
37,522,90467576,334,1036179428,188,-945711852,1981891280,945711852
38,555,-66827810,312,1013831246,243,-1080659056,2094490302,1080659056
39,573,106884738,354,1050276891,219,-943392153,1993669044,943392153
40,560,-13992340,347,927244018,213,-941236358,1868480376,941236358
41,509,24801289,324,925079322,185,-900278033,1825357355,900278033
42,549,186050671,356,1079682900,193,-893632229,1973315129,893632229
43,464,-138122542,261,759120074,203,-897242616,1656362690,897242616
44,579,-132386124,353,978843916,226,-1111230040,2090073956,1111230040
45,549,219130368,341,1144082677,208,-924952309,2069034986,924952309
46,583,45545128,351,1028980779,232,-983435651,2012416430,983435651
47,544,91038113,327,1109806618,217,-1018768505,2128575123,1018768505
48,555,-166712777,346,1078567553,209,-1245280330,2323847883,1245280330
49,489,-19954376,290,989459172,199,-1009413548,1998872720,1009413548
50,530,-105101726,310,838208364,220,-943310090,1781518454,943310090
51,523,-102218805,331,901070137,192,-1003288942,1904359079,1003288942
52,519,237088321,334,1139444952,185,-902356631,2041801583,902356631
53,517,-247594416,300,853390478,217,-1100984894,1954375372,1100984894
54,518,-42443184,302,877588662,216,-920031846,1797620508,920031846
55,554,194636889,357,1078103722,197,-883466833,1961570555,883466833
56,519,200050758,341,1116390281,178,-916339523,2032729804,916339523
57,579,143753868,377,1143040260,202,-999286392,2142326652,999286392
58,560,105505261,350,924639351,210,-819134090,1743773441,819134090
59,533,26731422,313,951566429,220,-924835007,1876401436,924835007
